;t0;t0;t0;t0;;t1;t1;t1;t1;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t9;t9;t9;t9;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g1;-0.11;0;0.83;0.14;g1;0.1;0;-0.01;0.17;g1;0.06;-0.58;-0.62;0.35;g1;0.04;0.23;0.14;0.03;g1;-0.26;-0.23;-0.58;-0.08;g1;0.04;0.08;-0.05;-0.13;g1;-0.2;-0.32;0.23;-0.1
g74;-0.35;0;-1.04;0.1;g74;0.1;1.02;0.29;-0.34;g74;0.39;-0.65;0.67;-0.27;g74;0.17;-0.01;-0.06;0.29;g74;-0.18;-1.11;-0.5;0.69;g74;-0.21;-0.31;-0.49;0.08;g74;-0.08;-0.11;0.32;0.01
g90;0.09;0;0.02;-0.08;g90;-0.53;0.68;0.55;0.36;g90;-0.07;-0.68;0.18;-0.82;g90;0.2;0.45;1.1;-0.79;g90;-0.19;-0.47;0;-0.9;g90;0.03;0.82;0.44;-0.24;g90;0.32;-1.01;0;0.33
g106;0.1;-0.32;0.92;0.26;g106;-0.06;0;0.7;-0.22;g106;0;-0.3;0.58;0.2;g106;-0.19;0.11;-0.06;-0.26;g106;-0.25;-1.4;-0.25;-0.2;g106;0.13;0.69;0.32;-0.46;g106;-0.19;-0.58;-0.5;-0.34
g111;-1.22;-0.13;0.08;-0.33;g111;0.1;-0.31;0.13;-0.35;g111;0.2;0;-0.15;-0.47;g111;0.28;0.65;-0.05;-0.32;g111;0.3;-0.77;-0.46;-0.11;g111;0.42;0.72;0.15;-0.14;g111;0.21;-0.63;0.68;0.17
g127;-0.26;-0.85;0.24;-0.82;g127;-0.04;-0.31;-0.65;-0.17;g127;-0.2;-0.3;0.06;-0.11;g127;-0.01;0.73;0.51;-0.76;g127;0.03;-0.68;-0.12;-0.54;g127;-0.01;0.42;-0.33;-0.31;g127;0.41;-0.11;0.32;0.41
g142;-0.07;0;-0.35;-1.11;g142;-0.46;-1.87;-0.74;-0.58;g142;0.16;-0.38;-0.43;0.37;g142;0.58;0.47;0.03;-0.13;g142;-0.07;0.18;-0.51;0.08;g142;0.45;1.08;0;0.19;g142;-0.07;0.15;1.15;0.23
g312;0.06;-0.01;-0.18;-0.87;g312;-0.28;0.35;-0.29;-0.17;g312;-0.28;0.25;-0.13;-0.12;g312;-0.26;-0.25;0.53;0.62;g312;-0.24;0.34;-0.66;0.52;g312;0;-0.29;0.21;-0.28;g312;0.17;0.35;-1.76;-0.01
g363;-0.08;0;-0.25;-0.29;g363;-0.73;-0.42;-1.57;-0.2;g363;-0.42;0.11;-0.27;-0.44;g363;0.08;0.47;0.59;-0.1;g363;0.08;0.25;0.31;-0.27;g363;-0.05;0.34;0.57;-0.29;g363;-0.2;-0.42;-0.39;0.37
g384;0.06;0.5;-0.13;1.77;g384;-0.75;0.48;-0.33;-0.43;g384;-0.37;-0.48;-0.09;-0.03;g384;0.11;0;0.32;0.23;g384;-0.24;-0.28;-0.53;0.53;g384;0.11;0;0.15;-0.29;g384;0.23;0;0.45;0.11
g426;-0.03;0.73;0.36;-0.06;g426;-0.72;0.71;-0.31;-0.31;g426;-0.09;0.19;-0.06;-0.27;g426;0.12;-0.15;0.1;0.34;g426;-0.07;0.13;-0.37;0.17;g426;0;-0.34;0.06;-0.34;g426;0.29;0.27;0.32;0.26
g439;-0.16;-0.59;0;1.2;g439;-0.02;-0.36;0;-0.63;g439;0.42;-0.32;0;0.43;g439;-0.07;0.56;0;-0.01;g439;-0.59;-0.48;0;0.09;g439;-0.12;0.6;0;0.4;g439;-0.07;-0.32;0;0.07
g449;-0.17;0.08;-0.99;-0.46;g449;0.17;0.13;-0.11;-0.04;g449;0.34;-0.25;-0.67;-0.08;g449;0.06;-0.25;-0.37;0.01;g449;0.21;-0.23;-0.23;0.12;g449;-0.18;-0.16;0.17;-0.05;g449;-0.22;0.5;0.77;0.19
g460;-0.13;0.02;0.01;-0.17;g460;-0.27;-0.16;0.48;0.01;g460;-0.03;-0.06;-0.21;-0.24;g460;0.15;-0.09;-0.53;-0.36;g460;-0.2;0.15;0.08;-0.17;g460;-0.02;-0.42;-0.23;-0.34;g460;0.13;0.18;0.41;0.38
g473;-0.07;0.11;-0.83;-0.39;g473;-0.55;-0.45;-0.24;-0.83;g473;-0.45;0.17;-0.5;0.07;g473;0.02;0.72;-0.35;0.42;g473;0.21;0.08;-0.16;0.29;g473;0.41;0.35;0.23;0.42;g473;-0.41;-0.47;0.38;-1.22
g589;-0.24;-0.42;-0.4;-0.33;g589;-0.12;-0.96;0.22;-0.02;g589;-0.03;-0.19;-0.67;-0.07;g589;0.17;-0.03;-0.48;-0.45;g589;-0.02;-0.59;0.14;-0.33;g589;-0.41;-0.29;0.02;-0.17;g589;-0.13;0.07;0.23;0.35
g674;0.34;1.04;-0.25;-0.89;g674;-0.75;0.71;0.5;-0.09;g674;-0.23;0.09;0.21;0.71;g674;0.14;0.15;0.18;0.85;g674;-0.06;0.14;-0.07;0.77;g674;0.25;-0.07;-0.08;0.18;g674;0.05;0.48;0.09;-0.02
g730;-0.09;0;-0.48;0.32;g730;-0.01;0;0.18;-0.24;g730;0.07;0;-0.17;0.28;g730;-0.24;0;0.07;0.26;g730;0.51;0;0.24;0.2;g730;-0.38;0;0.51;0.15;g730;-0.15;0;-0.42;-0.05
g731;-0.35;0;-0.7;0.41;g731;0;0;-0.28;0.17;g731;-0.15;0;-0.43;-0.21;g731;-0.83;0;0.35;0.1;g731;-0.13;0;0.29;-0.05;g731;0;0;0.62;0.17;g731;0.6;0;0;-0.01
g754;-0.15;0;-0.41;0.38;g754;-0.09;0;0;0.2;g754;-0.21;0;-0.43;0.08;g754;-0.01;-0.25;-0.26;-0.44;g754;-0.05;0;-0.25;-0.31;g754;-0.29;0.25;0.06;-0.09;g754;-0.02;0;0.2;-0.01
g775;-0.68;-0.33;-0.79;0.48;g775;-0.1;-0.22;-0.28;-0.17;g775;0;0.16;0.17;0;g775;-0.13;0.45;0.02;-0.34;g775;0.21;-0.21;0.66;-0.05;g775;-0.27;0.3;0.29;-0.07;g775;0.33;-0.71;-0.25;0.06
g793;0;-0.74;0;0;g793;0;-0.35;0;0;g793;0;0.32;0;0;g793;0;0.01;0;0;g793;0;-0.86;0;0;g793;0;0.29;0;0;g793;0;-0.72;0;0
g912;-0.4;0.16;-0.26;-1.24;g912;-0.59;0;-1.84;-0.59;g912;1.03;0;0.74;-0.11;g912;0.45;0;0;0.56;g912;0.11;-0.16;0;0.57;g912;-0.25;0;0;0.76;g912;-0.4;0;0;-0.54
g915;0;0;-0.88;-0.39;g915;-0.06;0;0.28;-0.08;g915;-0.22;-0.4;0;-0.17;g915;0.18;0;-0.35;0.01;g915;-0.06;0;0.16;0.03;g915;0.3;0;0.06;-0.31;g915;0;0;-0.04;0.24
g925;-0.56;-0.52;-0.37;0.55;g925;-0.09;-0.58;-0.01;0.15;g925;0.09;0;-0.07;-0.69;g925;-0.53;0;-0.1;0.05;g925;0.36;0;0.26;0.15;g925;-0.25;0;0.31;0.22;g925;0.36;0;-0.33;0.08
g930;-0.32;0;-0.39;0.23;g930;0.45;0;-0.59;-0.39;g930;0.45;0;-1.08;0.19;g930;0.36;0;-0.63;-0.19;g930;0.16;0;0.12;-0.12;g930;-0.53;0.52;-0.05;-0.04;g930;-0.31;0;1.42;-0.16
g970;-0.49;-0.07;0.08;0.18;g970;-0.07;0.23;-0.28;0;g970;0.57;-0.16;-0.21;0.01;g970;-0.07;0.23;-0.08;-0.24;g970;-0.12;-0.01;-0.49;0.19;g970;-0.49;0.22;-0.44;0.14;g970;-0.1;0.07;1.01;-0.05
g980;-0.18;0.03;-0.71;0.32;g980;-0.33;0.06;0.28;0;g980;-0.42;-0.29;-0.39;0.18;g980;-0.08;0.57;0.04;0.15;g980;0.02;-1.05;0.41;-0.03;g980;-0.18;0.43;0.21;0.1;g980;0.38;-0.19;-0.08;0
g998;-0.11;0.28;0.73;0.51;g998;0.27;-0.01;0.2;0.22;g998;0.46;-0.63;-0.39;-0.01;g998;-0.06;0.61;-0.14;-0.68;g998;-0.29;-0.73;-0.13;-0.36;g998;-0.49;-0.21;-0.42;-0.28;g998;-0.16;0.32;0.08;-0.22
g1018;0;0.09;0.05;-0.03;g1018;0;0.37;0.13;-0.05;g1018;-1.55;-0.25;0.16;0.31;g1018;0.12;0.3;0.51;0.11;g1018;-0.25;-0.32;0.2;0.41;g1018;0.09;0.95;0.36;0.11;g1018;-0.01;-0.85;-0.95;0.04
g1068;0.07;0.46;-0.1;0.67;g1068;0.25;0.51;-0.49;-0.02;g1068;0.01;-0.18;-0.09;0.11;g1068;-0.19;-0.51;0.16;0;g1068;-0.14;-0.09;-0.45;0.13;g1068;-0.5;-0.11;-0.1;0;g1068;-0.22;0.24;0.52;-0.42
g1099;0.08;-0.37;-0.34;0.16;g1099;0.21;0.46;-0.01;0.04;g1099;-0.01;-0.26;-0.34;-0.13;g1099;0.16;0.31;-0.01;0.24;g1099;0.2;-0.62;0.83;0.3;g1099;0.15;0.76;1.47;-0.15;g1099;0.06;-0.15;1.25;-0.21
g1129;0.37;0.16;0.19;0.31;g1129;-0.16;0.63;0.3;0;g1129;-0.14;-0.08;0.29;-0.32;g1129;-0.16;0.36;-0.31;-0.04;g1129;0.04;0.08;0.23;0.05;g1129;0.1;-0.12;0.2;-0.54;g1129;0.01;0.09;-0.51;0.05
