2023;1638;385;757;454;303;824;494;330;1.27;0.79;1.17;0.86
1159;956;203;437;338;99;476;368;108;2.05;0.49;1.88;0.53
2468;1638;830;1274;464;810;1388;505;883;1.02;0.98;0.94;1.06
1175;904;271;433;302;131;471;329;142;2.07;0.48;1.91;0.52
2508;1654;854;1414;464;950;1540;505;1035;0.9;1.11;0.83;1.21
1386;646;740;788;235;553;858;256;602;1.34;0.75;1.23;0.81
1981;1655;326;642;462;180;699;503;196;1.81;0.55;1.66;0.6
2377;608;1769;1764;216;1548;1922;235;1687;1.14;0.88;1.05;0.95
2631;1773;858;3773;497;3276;4111;541;3570;0.26;3.82;0.24;4.16
3575;708;2867;4307;272;4035;4693;296;4397;0.71;1.41;0.65;1.53
2086;1751;335;681;470;211;742;512;230;1.59;0.63;1.46;0.69
1752;1129;623;910;411;499;991;447;544;1.25;0.8;1.15;0.87
2303;1631;672;845;519;326;920;565;355;2.06;0.49;1.89;0.53
2345;1871;474;781;599;182;851;652;199;2.6;0.38;2.38;0.42
3791;1817;1974;2262;618;1644;2464;673;1791;1.2;0.83;1.1;0.91
2230;1846;384;725;575;150;790;626;164;2.56;0.39;2.34;0.43
2760;1743;1017;1109;599;510;1208;652;556;1.99;0.5;1.83;0.55
2257;1880;377;732;608;124;797;662;135;3.04;0.33;2.79;0.36
2725;1854;871;989;608;381;1077;662;415;2.29;0.44;2.1;0.48
2200;1759;441;693;544;149;755;592;163;2.96;0.34;2.71;0.37
2812;1851;961;2061;607;1454;2245;661;1584;0.66;1.51;0.61;1.65
2441;1838;603;1452;584;868;1582;636;946;0.69;1.44;0.64;1.57
2666;1888;778;988;642;346;1076;699;377;2.25;0.44;2.06;0.48
2224;1665;559;724;519;205;788;565;223;2.73;0.37;2.51;0.4
2115;1690;425;761;485;276;829;528;301;1.54;0.65;1.41;0.71
2038;1264;774;1032;450;582;1124;490;634;1.33;0.75;1.22;0.82
2160;1669;491;822;524;298;895;570;325;1.65;0.61;1.51;0.66
1742;1113;629;793;450;343;864;490;374;1.83;0.55;1.68;0.59
2060;1686;374;659;497;162;718;541;177;2.31;0.43;2.11;0.47
