1240;466;774;1917;873;1044;1895;863;1032;0.74;1.35;0.75;1.33
607;458;149;1116;815;301;1103;805;298;0.5;2.02;0.5;2
905;466;439;1467;864;603;1450;854;596;0.73;1.37;0.74;1.36
579;421;158;905;607;298;894;600;294;0.53;1.89;0.54;1.86
1273;467;806;1845;882;963;1824;872;952;0.84;1.19;0.85;1.18
996;420;576;1517;652;865;1500;644;856;0.67;1.5;0.67;1.49
658;465;193;1115;842;273;1102;832;270;0.71;1.41;0.71;1.4
836;445;391;1374;808;566;1358;799;559;0.69;1.45;0.7;1.43
1495;536;959;3561;1130;2431;3521;1117;2404;0.39;2.53;0.4;2.51
2168;441;1727;3297;826;2471;3260;816;2444;0.7;1.43;0.71;1.42
635;430;205;1108;848;260;1095;838;257;0.79;1.27;0.8;1.25
1022;421;601;1525;679;846;1508;671;837;0.71;1.41;0.72;1.39
680;390;290;611;309;302;604;305;299;0.96;1.04;0.97;1.03
705;338;367;554;212;342;547;209;338;1.07;0.93;1.09;0.92
1995;398;1597;1767;305;1462;1747;301;1446;1.09;0.92;1.1;0.91
439;333;106;306;229;77;302;226;76;1.38;0.73;1.39;0.72
617;360;257;540;297;243;534;293;241;1.06;0.95;1.07;0.94
438;331;107;304;225;79;300;222;78;1.35;0.74;1.37;0.73
656;351;305;588;288;300;581;284;297;1.02;0.98;1.03;0.97
470;333;137;332;230;102;328;227;101;1.34;0.74;1.36;0.74
814;384;430;1016;311;705;1004;307;697;0.61;1.64;0.62;1.62
898;371;527;1017;231;786;1005;228;777;0.67;1.49;0.68;1.47
635;355;280;511;270;241;505;267;238;1.16;0.86;1.18;0.85
595;335;260;458;218;240;452;215;237;1.08;0.92;1.1;0.91
713;433;280;961;710;251;950;702;248;1.12;0.9;1.13;0.89
1052;467;585;1291;755;536;1276;746;530;1.09;0.92;1.1;0.91
821;473;348;1128;608;520;1115;601;514;0.67;1.49;0.68;1.48
803;484;319;1047;698;349;1035;690;345;0.91;1.09;0.92;1.08
596;450;146;1085;809;276;1072;800;272;0.53;1.89;0.54;1.86
695;452;243;1192;868;324;1178;858;320;0.75;1.33;0.76;1.32
635;450;185;1153;836;317;1140;826;314;0.58;1.71;0.59;1.7
736;476;260;1332;942;390;1317;931;386;0.67;1.5;0.67;1.48
620;467;153;1018;769;249;1006;760;246;0.61;1.63;0.62;1.61
690;454;236;1178;795;383;1164;786;378;0.62;1.62;0.62;1.6
621;440;181;1102;764;338;1089;755;334;0.54;1.87;0.54;1.85
