ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
GO:0000000	6178	5560	161	146	0.4491673268306695	1.0	0.0	"root"
GO:0000002	6178	45	161	1	0.69655948620492	1.0	3.625916929173886E-115	"mitochondrial genome maintenance"
GO:0000003	6178	490	161	14	0.40002585541143393	1.0	0.0	"reproduction"
GO:0032774	6178	770	161	30	0.014534891084807057	1.0	0.0	"RNA biosynthetic process"
GO:0000009	6178	9	161	1	0.2116461556897488	1.0	2.78396485469723E-29	"alpha-1,6-mannosyltransferase activity"
GO:0000014	6178	7	161	1	0.16883887128710764	1.0	1.4722174544616286E-23	"single-stranded DNA endodeoxyribonuclease activity"
GO:0000015	6178	5	161	1	0.12372238275586758	1.0	1.3355029950948291E-17	"phosphopyruvate hydratase complex"
GO:0032784	6178	52	161	1	0.7481387892171127	1.0	7.516769299407848E-130	"regulation of DNA-templated transcription, elongation"
GO:0000018	6178	27	161	1	0.510554023605758	1.0	5.114450318230899E-75	"regulation of DNA recombination"
GO:0032786	6178	49	161	1	0.7271968103775068	1.0	1.3044996159050566E-123	"positive regulation of DNA-templated transcription, elongation"
GO:0000019	6178	6	161	1	0.1465768613516368	1.0	1.2980751612755431E-20	"regulation of mitotic recombination"
GO:0032787	6178	176	161	10	0.016246808136172332	1.0	0.0	"monocarboxylic acid metabolic process"
GO:0016407	6178	61	161	6	0.004850358713969786	1.0	3.9160473451005534E-148	"acetyltransferase activity"
GO:0016408	6178	6	161	1	0.1465768613516368	1.0	1.2980751612755431E-20	"C-acyltransferase activity"
GO:0016410	6178	51	161	3	0.14685118573888067	1.0	8.85677798026569E-128	"N-acyltransferase activity"
GO:0000026	6178	13	161	1	0.2907971352988374	1.0	3.3017518341544422E-40	"alpha-1,2-mannosyltransferase activity"
GO:0032794	6178	2	161	1	0.05144540155190885	1.0	5.2408833131183764E-8	"GTPase activating protein binding"
GO:0016413	6178	11	161	2	0.031811505758238615	1.0	8.048172907631841E-35	"O-acetyltransferase activity"
GO:1900544	6178	5	161	1	0.12372238275586758	1.0	1.3355029950948291E-17	"positive regulation of purine nucleotide metabolic process"
GO:0000030	6178	45	161	3	0.11163008810507458	1.0	3.625916929173886E-115	"mannosyltransferase activity"
GO:0016414	6178	1	161	1	0.02606021366142153	1.0	1.6186468112627334E-4	"O-octanoyltransferase activity"
GO:0016415	6178	2	161	1	0.05144540155190885	1.0	5.2408833131183764E-8	"octanoyltransferase activity"
GO:0000031	6178	1	161	1	0.02606021366142153	1.0	1.6186468112627334E-4	"mannosylphosphate transferase activity"
GO:0000032	6178	23	161	1	0.45579639658664617	1.0	1.7410024921125108E-65	"cell wall mannoprotein biosynthetic process"
GO:0032806	6178	13	161	1	0.2907971352988374	1.0	3.3017518341544422E-40	"carboxy-terminal domain protein kinase complex"
