0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0;0;0;0;0;2;1;1;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;1;4;0;1;0;0;3;62;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
0;3;1;5;8;3;0;10;10;21;12;3;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0
1;4;1;7;6;9;16;21;16;89;65;26;10;10;3;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
1;5;11;4;8;5;12;7;25;68;85;84;91;121;13;3;0;0;0;1;0;1;0;1;0;2;0;0;3;0
4;1;17;27;18;12;4;3;7;9;8;15;7;22;8;5;4;7;3;0;1;1;9;9;0;10;1;3;0;0
1;3;5;18;5;6;4;2;1;4;2;5;1;8;3;10;16;8;5;2;4;6;14;4;4;15;4;6;1;0
0;0;0;0;0;2;3;1;5;4;0;0;1;0;4;8;16;10;5;16;0;10;4;9;9;11;4;3;0;0
1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;4;1;24;3;16;6;12;13;14;12;0;2;0;2;1
2;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;4;3;7;11;3;5;5;20;9;4;3;6;1;0
2;8;2;0;0;0;0;0;0;0;0;0;0;4;1;0;0;1;2;2;4;3;1;2;0;3;2;2;2;0
0;4;2;0;0;0;0;0;0;0;0;1;0;2;3;3;1;1;0;0;0;0;2;0;0;11;3;0;3;0
1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0;4;16;22;7;3;2
1;1;1;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;2;3;1;6;15;11;6;1;2
0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;4;1;1;4;7;6;37;12;2;2;0;0
0;0;0;1;1;1;1;1;0;0;0;2;0;0;0;0;0;1;2;1;6;3;3;13;2;1;1;1;0;2
0;0;4;0;0;0;3;1;0;0;0;0;0;0;0;1;1;2;7;4;3;2;3;2;0;1;1;0;0;0
0;1;1;2;2;1;0;2;0;0;0;0;0;0;0;0;2;1;2;2;4;0;3;1;0;0;0;0;0;0
