t;s;g;el
0;2;60;63.675
0;2;61;69.0751
0;2;62;60.3985
0;2;63;72.7289
0;2;64;72.1094
0;2;65;60.0454
0;2;66;65.8178
0;2;67;73.9692
0;2;68;71.5804
0;2;69;72.5699
0;2;70;63.9602
0;2;71;70.2042
0;2;72;72.3495
0;2;73;63.2843
0;2;74;63.5276
0;2;75;71.6373
0;2;76;70.227
0;2;77;64.6234
0;2;78;70.2481
0;2;79;66.6087
0;2;80;73.9114
0;2;95;61.0021
0;2;107;65.2251
0;2;121;61.7795
0;2;158;74.066
0;2;182;70.6555
0;2;207;73.6659
0;2;224;73.5115
0;2;226;63.6074
0;2;239;69.1619
0;2;240;71.0321
0;2;241;62.438
0;2;246;60.9263
0;2;257;64.2707
0;2;266;69.1146
0;2;270;60.8043
0;2;274;62.5604
0;2;279;70.1968
0;2;284;70.8261
0;2;285;70.3935
0;2;293;71.0152
0;2;300;67.7827
0;2;301;64.5257
0;2;302;64.0695
0;2;307;63.6277
0;2;319;64.1072
0;2;323;62.1725
0;2;332;71.5806
0;2;337;72.6249
0;2;339;72.6899
0;2;347;73.6251
0;2;364;71.8081
0;2;365;64.2861
0;2;367;72.9167
0;2;369;67.2326
0;2;378;67.2977
0;2;381;70.7213
0;2;383;72.2458
0;2;384;71.1231
0;2;401;63.8296
0;2;402;74.3313
0;2;407;73.017
0;2;415;74.9241
0;2;426;67.7399
0;2;429;60.8493
0;2;433;61.2165
0;2;435;64.9888
0;2;437;65.8501
0;2;438;69.8107
0;2;447;73.5417
0;2;452;66.264
0;2;457;63.0287
0;2;460;62.3165
0;2;473;73.4532
0;2;476;71.7489
0;2;490;64.1797
0;2;502;60.0667
0;2;507;74.302
0;2;512;64.0348
0;2;518;69.6043
0;2;528;68.5416
0;2;530;62.0025
0;2;531;67.0828
0;2;671;68.3453
0;2;674;60.4101
0;2;678;71.9004
0;2;683;64.4873
0;2;702;65.5276
0;2;713;71.0877
0;2;715;72.4366
0;2;716;65.5657
0;2;718;60.6314
0;2;739;64.9705
0;2;748;68.1548
0;2;760;64.7509
0;2;761;60.3316
0;2;764;74.9482
0;2;765;70.1656
0;2;789;71.8707
0;2;790;73.5791
0;2;800;68.6602
0;2;803;66.2365
0;2;813;68.9757
0;2;822;74.5335
0;2;828;67.5935
0;2;832;67.4739
0;2;833;65.5049
0;2;835;67.3482
0;2;838;60.8784
0;2;840;68.0814
0;3;60;3.0714
0;3;61;16.8077
0;3;62;14.9481
0;3;63;13.5768
0;3;64;18.1251
0;3;65;7.8751
0;3;66;21.0713
0;3;67;0.3842
0;3;68;5.2296
0;3;69;23.9837
0;3;70;4.0446
0;3;71;10.0212
0;3;72;21.014
0;3;73;22.4332
0;3;74;21.8833
0;3;75;8.2507
0;3;76;6.8514
0;3;77;14.5045
0;3;78;11.7445
0;3;79;23.1616
0;3;80;7.3161
0;3;95;13.3122
0;3;107;2.6661
0;3;121;10.6025
0;3;158;17.8195
0;3;182;23.5735
0;3;207;21.3815
0;3;224;7.397
0;3;226;0.6743
0;3;239;14.3891
0;3;240;6.1788
0;3;241;13.3066
0;3;246;3.4492
0;3;257;16.9008
0;3;266;6.4677
0;3;270;0.5032
0;3;274;9.2283
0;3;279;6.9085
0;3;284;24.6671
0;3;285;3.1694
0;3;293;19.0075
0;3;300;21.036
0;3;301;19.8481
0;3;302;6.9687
0;3;307;4.1117
0;3;319;9.3248
0;3;323;20.5749
0;3;332;2.1893
0;3;337;19.8942
0;3;339;10.6675
0;3;347;23.5961
0;3;364;7.5818
0;3;365;13.8085
0;3;367;12.1369
0;3;369;4.1084
0;3;378;3.9024
0;3;381;4.9735
0;3;383;10.794
0;3;384;4.1164
0;3;401;4.7861
0;3;402;1.4476
0;3;407;18.8391
0;3;415;13.6947
0;3;426;23.4047
0;3;429;23.3949
0;3;433;17.5066
0;3;435;8.9799
0;3;437;13.7168
0;3;438;16.1065
0;3;447;1.7454
0;3;452;15.5201
0;3;457;4.349
0;3;460;6.6142
0;3;473;1.1391
0;3;476;22.5054
0;3;490;8.2024
0;3;502;20.4535
0;3;507;19.0173
0;3;512;2.342
0;3;518;17.8945
0;3;528;18.717
0;3;530;1.3352
0;3;531;18.3735
0;3;671;0.1015
0;3;674;16.7725
0;3;678;2.4609
0;3;683;12.5001
0;3;702;14.3364
0;3;713;15.0229
0;3;715;12.7678
0;3;716;5.6173
0;3;718;8.1772
0;3;739;20.1651
0;3;748;19.0736
0;3;760;5.2459
0;3;761;13.5613
0;3;764;6.8715
0;3;765;13.7421
0;3;789;20.717
0;3;790;22.2808
0;3;800;0.2859
0;3;803;12.3402
0;3;813;17.4816
0;3;822;3.0086
0;3;828;17.5985
0;3;832;13.2978
0;3;833;12.3149
0;3;835;5.7752
0;3;838;23.4357
0;3;840;18.697
4;2;60;73.0369
4;2;61;61.9816
4;2;62;70.6849
4;2;63;66.2608
4;2;64;63.2709
4;2;65;73.329
4;2;66;62.8311
4;2;67;70.7484
4;2;68;65.8739
4;2;69;72.4271
4;2;70;67.0745
4;2;71;70.6416
4;2;72;61.1568
4;2;73;74.811
4;2;74;70.8888
4;2;75;60.2244
4;2;76;71.4514
4;2;77;62.8989
4;2;78;69.7002
4;2;79;72.0742
4;2;80;63.1489
4;2;95;73.4422
4;2;107;74.3529
4;2;121;71.5181
4;2;158;62.1987
4;2;182;73.9756
4;2;207;72.7161
4;2;224;74.317
4;2;226;71.7155
4;2;239;61.4693
4;2;240;61.7747
4;2;241;61.9284
4;2;246;71.104
4;2;257;63.4285
4;2;266;61.5937
4;2;270;66.9379
4;2;274;60.9404
4;2;279;74.6689
4;2;284;61.1583
4;2;285;73.2978
4;2;293;71.3559
4;2;300;73.2844
4;2;301;64.5886
4;2;302;63.9829
4;2;307;72.1107
