LEVEL;WEIGHT;INTERVAL;TRI_{1}TERMS;TRI_{1}CONCENTRATION;TRI_{1}PARTIAL;TRI_{2}TERMS;TRI_{2}CONCENTRATION;TRI_{2}PARTIAL;TRI_{3}TERMS;TRI_{3}CONCENTRATION;TRI_{3}PARTIAL;TRI_{4}TERMS;TRI_{4}CONCENTRATION;TRI_{4}PARTIAL;TRI_{5}TERMS;TRI_{5}CONCENTRATION;TRI_{5}PARTIAL;
41;401.0;(0.0E00,1.0E-40];;;;;;
40;391.0;(1.0E-40,1.0E-39];;;;;;
39;381.0;(1.0E-39,1.0E-38];;;;;;
38;371.0;(1.0E-38,1.0E-37];;;;;;
37;361.0;(1.0E-37,1.0E-36];;;;;;
36;351.0;(1.0E-36,1.0E-35];;;;;;
35;341.0;(1.0E-35,1.0E-34];;;;;;
34;331.0;(1.0E-34,1.0E-33];;;;;;
33;321.0;(1.0E-33,1.0E-32];;;;;;
32;311.0;(1.0E-32,1.0E-31];;;;;;
31;301.0;(1.0E-31,1.0E-30];;;;;;
30;291.0;(1.0E-30,1.0E-29];;;;;;
29;281.0;(1.0E-29,1.0E-28];;;;;;
28;271.0;(1.0E-28,1.0E-27];;;;;;
27;261.0;(1.0E-27,1.0E-26];;;;;;
26;251.0;(1.0E-26,1.0E-25];;;;;;
25;241.0;(1.0E-25,1.0E-24];;;;;;
24;231.0;(1.0E-24,1.0E-23];;;;;;
23;221.0;(1.0E-23,1.0E-22];;;;;;
22;211.0;(1.0E-22,1.0E-21];;;;;;
21;201.0;(1.0E-21,1.0E-20];;;;;;
20;191.0;(1.0E-20,1.0E-19];;;;;;
19;181.0;(1.0E-19,1.0E-18];;;;;;
18;171.0;(1.0E-18,1.0E-17];;;;;;
17;161.0;(1.0E-17,1.0E-16];;;;;;
16;151.0;(1.0E-16,1.0E-15];;;;;;
15;141.0;(1.0E-15,1.0E-14];;;;;;
14;131.0;(1.0E-14,1.0E-13];;;;;;
13;121.0;(1.0E-13,1.0E-12];;;;;;
12;111.0;(1.0E-12,1.0E-11];;;;;;
11;101.0;(1.0E-11,1.0E-10];;;;;;
10;91.0;(1.0E-10,1.0E-09];;;;;;
9;81.0;(1.0E-09,1.0E-08];;;;;;
8;71.0;(1.0E-08,1.0E-07];;;;;;
7;61.0;(1.0E-07,1.0E-06];;;;;;
6;51.0;(1.0E-06,1.0E-05];;;;;;
5;41.0;(1.0E-05,1.0E-04];;;;;;
4;31.0;(1.0E-04,1.0E-03];;;;;;
3;21.0;(1.0E-03,1.0E-02];;;;;;
2;11.0;(1.0E-02,1.0E-01];;;;;;
1;1.0;(1.0E-01,1.0E00];;;;;;
