;t1;t1;;t4;t4;;
;c2;c8;;c2;c8;;
g178;63.6288;35.1668;g178;70.2532;31.6159
g192;62.813;37.4325;g192;68.0446;32.186
g198;70.7261;30.9497;g198;72.7058;27.7545
g200;60.6149;30.1133;g200;71.1323;25.0343
g952;68.0286;32.2043;g952;63.0683;31.5932
g953;61.143;28.1848;g953;64.7935;35.6769
g954;70.6278;31.6701;g954;72.4703;37.1933
g955;71.4954;27.7301;g955;60.0834;31.9546
g956;69.334;36.8935;g956;61.6825;39.0462
g957;72.9561;37.1346;g957;68.3695;31.6896
g958;71.6942;26.1332;g958;66.2163;29.0709
g959;67.2485;33.6266;g959;69.0265;36.7307
g960;70.153;30.351;g960;69.0988;39.7151
g961;67.7593;28.0864;g961;60.0991;31.8126
g962;64.0096;36.4425;g962;61.4582;26.9195
g963;71.3791;35.2023;g963;65.3319;38.5466
g964;68.7556;30.2529;g964;67.2009;32.2434
g965;72.7232;26.7169;g965;73.4058;31.8436
g966;68.4773;29.6581;g966;73.4187;31.6215
g967;68.8955;25.3557;g967;60.7393;26.9646
g968;66.2208;37.7038;g968;60.5687;34.743
g969;63.1439;28.2951;g969;62.0649;26.4296
g970;71.1581;39.39;g970;72.8167;34.0594
g971;69.22;27.312;g971;67.1213;30.5569
g972;70.3212;38.2827;g972;62.2742;33.9226
g973;66.5963;35.4131;g973;64.4745;30.2205
g974;74.0314;39.2968;g974;66.2711;34.4982
g975;73.8471;29.3258;g975;71.4913;39.5825
g976;71.4696;35.3523;g976;71.7256;35.0146
g977;68.4285;26.8774;g977;66.8627;26.4533
g978;65.3637;37.483;g978;66.2336;28.0403
g979;60.9175;38.6858;g979;69.0302;38.2151
g980;66.0399;30.4478;g980;65.2207;34.2629
g981;69.7823;37.9734;g981;69.6377;38.4357
g982;66.1062;26.0834;g982;60.4629;27.5081
g983;71.6412;37.4891;g983;67.0036;38.6134
g984;71.5577;31.0568;g984;61.5755;29.117
g985;67.0491;33.1846;g985;66.2222;32.5111
g986;62.9914;31.4392;g986;73.5319;37.035
g987;67.8338;33.0234;g987;63.1724;38.2251
g988;73.7467;29.961;g988;71.9502;26.9224
g989;60.1977;30.9962;g989;66.4494;34.417
g990;70.5829;32.8222;g990;70.8981;32.6333
g991;62.5513;30.8235;g991;64.2508;36.4685
g995;65.4299;26.4374;g995;69.0753;28.4598
g996;70.8391;28.7501;g996;72.9213;35.3083
g997;72.9194;30.545;g997;72.7205;39.5716
g998;62.2026;26.7465;g998;71.5545;35.5804
g999;68.7036;37.4614;g999;72.8553;25.8865




;c2;c2;;c8;c8;;
;t1;t4;;t1;t4;;
g178;63.6288;70.2532;g178;35.1668;31.6159
g192;62.813;68.0446;g192;37.4325;32.186
g198;70.7261;72.7058;g198;30.9497;27.7545
g200;60.6149;71.1323;g200;30.1133;25.0343
g952;68.0286;63.0683;g952;32.2043;31.5932
g953;61.143;64.7935;g953;28.1848;35.6769
g954;70.6278;72.4703;g954;31.6701;37.1933
g955;71.4954;60.0834;g955;27.7301;31.9546
g956;69.334;61.6825;g956;36.8935;39.0462
g957;72.9561;68.3695;g957;37.1346;31.6896
g958;71.6942;66.2163;g958;26.1332;29.0709
g959;67.2485;69.0265;g959;33.6266;36.7307
g960;70.153;69.0988;g960;30.351;39.7151
g961;67.7593;60.0991;g961;28.0864;31.8126
g962;64.0096;61.4582;g962;36.4425;26.9195
g963;71.3791;65.3319;g963;35.2023;38.5466
g964;68.7556;67.2009;g964;30.2529;32.2434
g965;72.7232;73.4058;g965;26.7169;31.8436
g966;68.4773;73.4187;g966;29.6581;31.6215
g967;68.8955;60.7393;g967;25.3557;26.9646
g968;66.2208;60.5687;g968;37.7038;34.743
g969;63.1439;62.0649;g969;28.2951;26.4296
g970;71.1581;72.8167;g970;39.39;34.0594
g971;69.22;67.1213;g971;27.312;30.5569
g972;70.3212;62.2742;g972;38.2827;33.9226
g973;66.5963;64.4745;g973;35.4131;30.2205
g974;74.0314;66.2711;g974;39.2968;34.4982
g975;73.8471;71.4913;g975;29.3258;39.5825
g976;71.4696;71.7256;g976;35.3523;35.0146
g977;68.4285;66.8627;g977;26.8774;26.4533
g978;65.3637;66.2336;g978;37.483;28.0403
g979;60.9175;69.0302;g979;38.6858;38.2151
g980;66.0399;65.2207;g980;30.4478;34.2629
g981;69.7823;69.6377;g981;37.9734;38.4357
g982;66.1062;60.4629;g982;26.0834;27.5081
g983;71.6412;67.0036;g983;37.4891;38.6134
g984;71.5577;61.5755;g984;31.0568;29.117
g985;67.0491;66.2222;g985;33.1846;32.5111
g986;62.9914;73.5319;g986;31.4392;37.035
g987;67.8338;63.1724;g987;33.0234;38.2251
g988;73.7467;71.9502;g988;29.961;26.9224
g989;60.1977;66.4494;g989;30.9962;34.417
g990;70.5829;70.8981;g990;32.8222;32.6333
g991;62.5513;64.2508;g991;30.8235;36.4685
g995;65.4299;69.0753;g995;26.4374;28.4598
g996;70.8391;72.9213;g996;28.7501;35.3083
g997;72.9194;72.7205;g997;30.545;39.5716
g998;62.2026;71.5545;g998;26.7465;35.5804
g999;68.7036;72.8553;g999;37.4614;25.8865
