;t1;t1;;t2;t2;;t3;t3;;
;c0;c2;;c0;c2;;c0;c2;;
g130;13.5389;66.6664;g130;10.4026;72.2486;g130;4.3272;62.1553
g142;10.4444;66.5247;g142;12.4049;67.4626;g142;13.6358;62.6396
g144;7.0616;64.1908;g144;1.5018;60.5207;g144;14.4368;62.5419
g145;4.4449;70.7977;g145;1.9174;69.1779;g145;7.3716;71.6551
g164;9.3239;61.565;g164;5.1266;62.7472;g164;10.2907;66.4506
g165;9.34;70.359;g165;4.2379;67.8958;g165;13.2344;69.168
g184;12.8412;69.7931;g184;9.6346;70.7581;g184;8.5931;65.5318
g192;7.0839;62.813;g192;2.8446;74.4477;g192;2.7593;70.3379
g193;14.3449;67.6986;g193;3.2901;74.1633;g193;8.7618;69.0434
g194;1.4208;73.2922;g194;2.6653;73.6927;g194;13.8359;66.0013
g195;7.5102;66.7663;g195;6.6063;63.2982;g195;8.4464;67.9721
g204;11.4947;74.0192;g204;14.8853;74.4765;g204;8.4398;71.5146
g217;11.7053;70.9765;g217;11.6763;68.8562;g217;7.7285;73.0068
g223;2.932;62.4874;g223;12.0703;65.4458;g223;4.7889;66.6444
g229;11.4835;61.8516;g229;12.2195;60.7244;g229;7.8776;61.6382
g236;2.6647;60.2636;g236;2.2038;69.2867;g236;3.4681;72.969
g237;6.5791;74.1007;g237;14.8654;67.5252;g237;2.921;63.3099
g255;3.7049;62.0166;g255;2.446;61.8987;g255;13.126;66.1118
g259;2.325;70.9392;g259;3.3249;73.1421;g259;11.1236;71.0205
g263;8.8774;65.2306;g263;1.3715;60.2108;g263;11.4084;70.3868
g267;3.6265;63.6676;g267;9.3198;67.1719;g267;13.2941;67.6152
g280;1.8836;68.5908;g280;14.5625;62.4785;g280;5.3492;62.5902
g290;9.649;74.4057;g290;13.0979;65.5094;g290;14.2838;61.3251
g297;14.7394;74.3208;g297;7.5661;73.0592;g297;13.5546;63.4979
g306;2.7819;60.7453;g306;8.7034;60.8924;g306;10.8704;70.9093
g308;4.3705;60.7435;g308;6.0513;66.4181;g308;3.469;72.7038
g310;7.1435;72.9018;g310;5.2415;68.6467;g310;6.1698;61.6726
g311;14.02;63.0612;g311;7.971;74.416;g311;10.002;70.7947
g313;2.1362;66.8396;g313;1.2213;70.9997;g313;7.6808;66.6313
g324;8.2648;65.1822;g324;12.3392;67.4335;g324;2.2466;70.1084
g326;13.0654;67.7104;g326;9.9915;63.4267;g326;10.6656;62.1219
g327;6.647;71.6005;g327;13.9269;70.6475;g327;4.4423;73.6806
g330;4.8379;67.9109;g330;4.5662;68.4431;g330;2.8905;68.445
g352;3.3679;67.1063;g352;3.9648;61.0392;g352;2.26;62.2236
g354;11.8418;67.6023;g354;9.8328;65.1239;g354;13.3505;69.735
g356;12.152;67.951;g356;4.6499;68.6672;g356;3.1494;70.4891
g359;8.9637;67.3412;g359;5.0577;65.1055;g359;8.76;62.4983
g368;8.9798;72.862;g368;3.16;69.5291;g368;14.1751;68.0216
g375;4.7678;71.8857;g375;5.4919;60.5834;g375;8.662;60.7285
g377;2.7812;74.6651;g377;3.642;61.6129;g377;12.9073;71.9386
g379;10.1822;65.1392;g379;4.8504;63.837;g379;1.9093;65.7483
g388;7.3685;66.8246;g388;6.795;63.598;g388;3.4733;63.6887
g392;6.8416;62.6697;g392;9.0058;71.3068;g392;3.1501;63.689
g393;11.2169;70.8091;g393;12.8857;64.4377;g393;7.6146;67.7742
g394;14.5724;63.3973;g394;11.2637;74.1125;g394;6.1658;64.8201
g411;14.6926;65.3733;g411;7.6483;73.6306;g411;2.8329;65.8295
g413;8.0338;62.5251;g413;14.5959;74.4676;g413;4.6237;61.2912
g417;5.973;69.4271;g417;5.884;62.2886;g417;11.0345;61.095
g418;12.9367;63.5705;g418;9.0073;64.3915;g418;3.9936;65.8813
g422;8.4655;66.4415;g422;3.4908;71.0149;g422;9.5835;62.5068
g425;5.7461;64.4957;g425;5.5909;69.958;g425;2.2562;61.2472
g436;14.5463;72.143;g436;12.7339;73.9558;g436;2.9895;69.4665
g451;13.7372;70.56;g451;12.1114;60.0632;g451;1.8221;64.6807
g455;8.7867;74.1545;g455;4.0278;69.9649;g455;13.0448;67.9708
