;t0;t0;;t4;t4;;
;c2;c3;;c2;c3;;
g60;63.675;3.0714;g60;73.0369;5.5573
g61;69.0751;16.8077;g61;61.9816;7.2054
g62;60.3985;14.9481;g62;70.6849;10.3958
g63;72.7289;13.5768;g63;66.2608;2.3803
g64;72.1094;18.1251;g64;63.2709;23.1451
g65;60.0454;7.8751;g65;73.329;6.6413
g66;65.8178;21.0713;g66;62.8311;5.7959
g67;73.9692;0.3842;g67;70.7484;14.3345
g68;71.5804;5.2296;g68;65.8739;12.9311
g69;72.5699;23.9837;g69;72.4271;7.0026
g70;63.9602;4.0446;g70;67.0745;2.4047
g71;70.2042;10.0212;g71;70.6416;7.2559
g72;72.3495;21.014;g72;61.1568;17.0703
g73;63.2843;22.4332;g73;74.811;7.4536
g74;63.5276;21.8833;g74;70.8888;18.4718
g75;71.6373;8.2507;g75;60.2244;21.6865
g76;70.227;6.8514;g76;71.4514;2.6443
g77;64.6234;14.5045;g77;62.8989;3.0967
g78;70.2481;11.7445;g78;69.7002;5.3777
g79;66.6087;23.1616;g79;72.0742;6.6935
g80;73.9114;7.3161;g80;63.1489;13.9334
g95;61.0021;13.3122;g95;73.4422;7.5276
g107;65.2251;2.6661;g107;74.3529;23.3297
g121;61.7795;10.6025;g121;71.5181;14.108
g158;74.066;17.8195;g158;62.1987;9.76
g182;70.6555;23.5735;g182;73.9756;23.7966
g207;73.6659;21.3815;g207;72.7161;1.903
g224;73.5115;7.397;g224;74.317;15.4218
g226;63.6074;0.6743;g226;71.7155;10.2299
g239;69.1619;14.3891;g239;61.4693;7.4244
g240;71.0321;6.1788;g240;61.7747;14.1985
g241;62.438;13.3066;g241;61.9284;0.0013
g246;60.9263;3.4492;g246;71.104;24.598
g257;64.2707;16.9008;g257;63.4285;12.5158
g266;69.1146;6.4677;g266;61.5937;18.6428
g270;60.8043;0.5032;g270;66.9379;17.7876
g274;62.5604;9.2283;g274;60.9404;16.1541
g279;70.1968;6.9085;g279;74.6689;14.1994
g284;70.8261;24.6671;g284;61.1583;17.7857
g285;70.3935;3.1694;g285;73.2978;0.5337
g293;71.0152;19.0075;g293;71.3559;6.8962
g300;67.7827;21.036;g300;73.2844;11.1468
g301;64.5257;19.8481;g301;64.5886;2.8828
