;t0;t0;;t3;t3;;
;c1;c9;;c1;c9;;
g48;10.8838;22.3959;g48;14.3163;20.793
g89;14.5751;14.8434;g89;22.0472;12.335
g145;31.6838;16.0373;g145;32.3768;11.5676
g255;27.3602;20.0254;g255;27.9978;24.285
g328;7.6634;20.3503;g328;16.4929;16.9691
g350;7.4711;10.3337;g350;32.4794;15.6434
g417;28.189;11.0742;g417;12.0713;18.5213
g522;28.5139;26.4597;g522;18.6274;15.1356
g699;21.7489;24.4854;g699;22.5865;14.8249
g729;17.6228;20.6274;g729;19.8875;14.6499
g771;12.1586;15.0422;g771;14.09;20.6304
g773;20.2434;19.8546;g773;18.2986;22.0845
g801;26.7527;17.5219;g801;26.4882;26.7394
g807;15.0879;20.0872;g807;17.0936;24.5011
g808;10.1061;10.0336;g808;24.0053;16.7438
g827;26.4724;24.2587;g827;15.8387;24.0268
g841;30.6111;27.4133;g841;13.8749;15.3473
g933;27.7399;21.732;g933;32.8665;25.3883




;c1;c1;;c9;c9;;
;t0;t3;;t0;t3;;
g48;10.8838;14.3163;g48;22.3959;20.793
g89;14.5751;22.0472;g89;14.8434;12.335
g145;31.6838;32.3768;g145;16.0373;11.5676
g255;27.3602;27.9978;g255;20.0254;24.285
g328;7.6634;16.4929;g328;20.3503;16.9691
g350;7.4711;32.4794;g350;10.3337;15.6434
g417;28.189;12.0713;g417;11.0742;18.5213
g522;28.5139;18.6274;g522;26.4597;15.1356
g699;21.7489;22.5865;g699;24.4854;14.8249
g729;17.6228;19.8875;g729;20.6274;14.6499
g771;12.1586;14.09;g771;15.0422;20.6304
g773;20.2434;18.2986;g773;19.8546;22.0845
g801;26.7527;26.4882;g801;17.5219;26.7394
g807;15.0879;17.0936;g807;20.0872;24.5011
g808;10.1061;24.0053;g808;10.0336;16.7438
g827;26.4724;15.8387;g827;24.2587;24.0268
g841;30.6111;13.8749;g841;27.4133;15.3473
g933;27.7399;32.8665;g933;21.732;25.3883
