t;s;g;el
0;0;3;-0.02
0;0;40;-0.14
0;0;41;-0.26
0;0;70;0
0;0;190;0.25
0;0;207;-0.37
0;0;220;0.09
0;0;337;0.03
0;0;370;0.2
0;0;412;0.17
0;0;426;-0.03
0;0;463;0
0;0;478;0.13
0;0;503;0.37
0;0;559;2.47
0;0;620;-0.09
0;0;744;4.76
0;0;773;-0.03
0;0;812;-0.07
0;0;826;-0.17
0;0;840;0.13
0;0;847;0.11
0;0;930;-0.32
0;0;981;0.01
0;0;1156;0.2
0;0;1199;0
0;0;1219;-0.39
0;0;1254;-0.39
0;0;1312;-0.35
0;0;1331;-0.23
0;0;1367;0.2
0;0;1368;0.04
0;0;1427;0.07
0;0;1522;-0.15
0;0;1620;-0.88
0;0;1696;-0.38
0;0;1727;-0.57
0;0;1730;-0.38
0;0;1740;-0.46
0;0;1743;-1.21
0;0;1744;-0.22
0;0;1758;0.18
0;0;1781;0.15
0;0;1799;0.2
0;0;1811;0.21
0;0;1847;-0.48
0;0;1903;0.3
0;0;1919;-0.06
0;0;1949;-0.08
0;0;2017;-0.47
0;0;2030;-0.09
0;0;2044;0.04
0;0;2068;-0.02
0;0;2222;0.05
0;0;2237;-0.06
0;0;2271;0
0;0;2355;0.38
0;0;2364;0.29
0;0;2403;0.03
0;0;2435;0.26
0;0;2453;0.53
0;0;2486;0.37
0;0;2553;-0.02
0;0;2554;0.58
0;0;2568;0.1
0;0;2573;0.34
0;0;2578;0.97
0;0;2583;0.11
0;0;2617;0.1
0;0;2664;0.2
0;0;2673;-0.22
0;0;2685;-0.04
0;0;2743;-0.09
0;0;2878;0.66
0;0;2915;0.12
0;0;3021;0.44
0;0;3040;-0.07
0;0;3081;0.15
0;0;3133;-0.43
0;0;3164;-0.07
0;0;3184;-0.21
0;0;3260;0.14
0;0;3267;0.49
0;0;3269;0.21
0;0;3284;-0.05
0;0;3291;0.34
0;0;3301;-0.32
0;0;3322;0.04
0;0;3357;0.1
0;0;3450;-0.07
0;0;3455;0.01
0;0;3465;0.19
0;0;3551;0
0;0;3569;-0.4
0;0;3592;-0.04
0;0;3614;-0.13
0;0;3622;0.38
0;0;3625;0.04
0;0;3640;-0.1
0;0;3656;-0.04
0;0;3674;-0.04
0;0;3686;-0.04
0;0;3807;-0.19
0;0;3812;0.33
0;0;3814;0.18
0;0;3819;0.17
0;0;3862;0.1
0;0;3937;0.11
0;0;3938;-0.85
0;0;3965;-0.22
0;0;4027;0.68
0;0;4107;0
0;0;4172;0.18
0;0;4253;0.29
0;0;4288;0
0;0;4374;0.36
0;0;4396;0.63
0;0;4439;0.42
0;0;4447;0.34
0;0;4473;-0.2
0;0;4479;0.13
0;0;4481;0
0;0;4499;0.01
0;0;4519;0.02
0;0;4521;0.36
0;0;4559;0.49
0;0;4561;0
0;0;4577;0.29
0;0;4594;-0.32
0;0;4606;0.17
0;0;4616;0.21
0;0;4619;0.45
0;0;4643;0
0;0;4693;0.16
0;0;4710;0.23
0;0;4745;-1.71
0;0;4760;-0.43
0;0;4784;0.07
