;t2;t2;;t3;t3;;t4;t4;;t5;t5;;t6;t6;;t7;t7;;
;c1;c2;;c1;c2;;c1;c2;;c1;c2;;c1;c2;;c1;c2;;
g2125;0.69;1.29;g2125;0;0.82;g2125;0.22;0.33;g2125;0.45;0.33;g2125;0.19;0.29;g2125;-0.55;0.44
g2126;0.62;0.28;g2126;0.23;0;g2126;-0.46;-0.08;g2126;0.29;-0.25;g2126;-0.37;0.31;g2126;0.38;0.32
g2127;0.42;0.31;g2127;0.42;0.19;g2127;0.01;-0.1;g2127;0.57;-0.1;g2127;-0.45;-0.02;g2127;0.34;0
g2128;-0.19;-0.3;g2128;0.03;-0.51;g2128;0.37;-0.19;g2128;-0.07;-0.01;g2128;-0.32;-0.17;g2128;0.17;-0.23
g2129;0.39;0.49;g2129;0.19;0.32;g2129;0.39;0.18;g2129;0.52;0.24;g2129;0.01;-0.12;g2129;0.14;-0.04
g2130;0.25;1.25;g2130;-0.15;0.93;g2130;0.22;0.15;g2130;-0.6;-0.07;g2130;-0.26;-1.07;g2130;-0.13;-0.65
g2131;0.02;0.22;g2131;0.11;-0.13;g2131;0.44;0.25;g2131;-1.17;0.21;g2131;0.51;-0.03;g2131;-0.6;-0.03
g2132;0.06;-0.3;g2132;-0.25;-0.01;g2132;0.63;0.23;g2132;-0.49;-0.47;g2132;0.51;0.7;g2132;-0.53;-0.15
g2133;0.17;0.14;g2133;0;0.1;g2133;0.52;0.16;g2133;-1.07;0.04;g2133;0.39;0.1;g2133;-0.62;0.1
g2134;0.26;0.48;g2134;-0.72;0.46;g2134;0.51;0.57;g2134;-0.75;0.15;g2134;-0.05;-0.17;g2134;-0.3;-0.29
g2135;-0.39;-0.7;g2135;-0.58;0.19;g2135;0.38;0.3;g2135;-0.66;-0.05;g2135;0.53;0.66;g2135;0.08;-0.19
g2136;0.01;-0.75;g2136;0.15;0.03;g2136;0.23;0.49;g2136;-0.16;-0.43;g2136;0.2;-0.1;g2136;0.2;0.07
g2137;-0.01;0.87;g2137;-0.37;1.15;g2137;0.57;0.87;g2137;-0.85;0.07;g2137;0.69;0.53;g2137;-0.78;0.07
g2138;0.26;-0.17;g2138;0;0.62;g2138;0.79;0.47;g2138;-0.77;-0.09;g2138;0.82;0.05;g2138;-0.85;-0.43
g2139;1.07;0.24;g2139;1.7;1.98;g2139;0.62;2.09;g2139;-1;1.27;g2139;0;-0.41;g2139;-1.27;-1.18
g2140;0.64;0.41;g2140;-0.36;0.17;g2140;0.1;-0.67;g2140;-0.47;-0.32;g2140;-0.06;-0.4;g2140;0.06;-0.01
g2141;-0.77;-0.13;g2141;0.22;-0.3;g2141;-0.25;-0.42;g2141;-0.5;-0.18;g2141;0.34;-0.33;g2141;-0.09;-0.11
g2142;-1.12;-0.94;g2142;-0.03;-0.83;g2142;0.74;-0.15;g2142;0.07;0.02;g2142;0.27;-0.2;g2142;0.21;-0.24
g2143;-1.68;0.07;g2143;2.58;-0.67;g2143;0;-0.75;g2143;0;-0.35;g2143;0;-0.39;g2143;0;-0.77
g2144;0.43;0.5;g2144;0.49;0.55;g2144;0.44;0.34;g2144;0.47;0.04;g2144;-0.08;0.41;g2144;0.29;0.03
g2145;-0.11;-0.39;g2145;0.18;0.03;g2145;-0.28;0.4;g2145;0.2;0.46;g2145;0.07;0.5;g2145;0.11;0.37
g2146;-0.26;-0.23;g2146;0.15;-0.14;g2146;0.27;-0.34;g2146;0.6;-0.35;g2146;0.31;-0.12;g2146;0.38;-0.33
g2147;-0.22;-0.63;g2147;0.14;0.37;g2147;0.09;0.22;g2147;-0.03;0.42;g2147;0.18;0.64;g2147;-0.03;0.17
g2151;-0.22;-0.61;g2151;0.06;-0.24;g2151;-0.16;-0.21;g2151;-0.01;-0.05;g2151;0.28;0.03;g2151;-0.48;-0.06
g2152;-0.17;-0.63;g2152;-0.47;-0.24;g2152;0.47;0.17;g2152;-0.45;-0.06;g2152;0.49;0.53;g2152;0.01;0.7
g2153;-0.27;-0.07;g2153;-0.18;-0.1;g2153;-0.27;-0.26;g2153;-0.18;-0.16;g2153;0.15;-0.42;g2153;-0.38;-0.25
g2154;-0.16;-0.26;g2154;-0.24;-0.19;g2154;-0.46;-0.04;g2154;0.08;0.03;g2154;0.18;-0.62;g2154;-0.03;-0.27
g2155;0.15;0.47;g2155;0.28;0.11;g2155;0.47;0.11;g2155;-0.09;-0.16;g2155;-0.06;-0.46;g2155;-0.51;-0.51
g2156;-0.95;-0.17;g2156;-0.55;-0.69;g2156;-0.22;-0.96;g2156;-0.14;-0.41;g2156;0.02;0.38;g2156;0.39;0.72
g2157;-0.4;0.15;g2157;-0.14;-0.02;g2157;0.26;-0.17;g2157;-0.32;-0.14;g2157;0.21;-0.06;g2157;-0.27;-0.05
g2158;0.11;-0.39;g2158;0.5;-0.24;g2158;0.25;0.06;g2158;0.44;-0.09;g2158;-0.24;0.42;g2158;0.19;0.12
g2159;-0.05;1.24;g2159;-0.53;0.71;g2159;0.32;0.03;g2159;-0.72;-0.24;g2159;0.58;-0.14;g2159;-0.46;-0.37
g2160;0;0;g2160;0;0.12;g2160;0;0.52;g2160;0;-0.48;g2160;0;-0.48;g2160;0;0.12
g2161;-0.34;-0.4;g2161;-0.22;-0.33;g2161;0.63;0.13;g2161;-0.84;-0.05;g2161;0.57;0.18;g2161;-0.36;-0.2
g2162;0.33;0.48;g2162;0;0.2;g2162;-0.31;-0.1;g2162;0;-0.36;g2162;-0.52;-0.14;g2162;0;-0.11
g2163;-0.35;-0.08;g2163;-0.16;-0.03;g2163;-0.29;-0.14;g2163;-0.11;-0.16;g2163;0.12;-0.14;g2163;0.02;0.26
g2164;-0.25;-0.24;g2164;0.27;0.68;g2164;0.05;0.86;g2164;0.49;0.75;g2164;0.12;0.69;g2164;0.52;1.03
g2165;0.32;0.52;g2165;0;0.49;g2165;-0.16;0.24;g2165;-0.08;0.01;g2165;-0.19;0.14;g2165;0.04;0.16
g2166;0.38;-0.11;g2166;0.23;-0.11;g2166;0.09;-0.02;g2166;0.18;0.37;g2166;0.19;-0.19;g2166;0.19;0.34
g2167;0.45;-0.29;g2167;0.23;-0.19;g2167;-0.47;-0.03;g2167;0.31;0.24;g2167;0.14;-0.09;g2167;-0.08;-0.16
g2168;-0.01;-0.07;g2168;-0.01;-0.09;g2168;0.12;-0.09;g2168;0.25;0.14;g2168;0.23;0.17;g2168;0.12;0.08
g2169;0.09;0.19;g2169;0.17;0.07;g2169;-0.51;0.03;g2169;0.09;0.15;g2169;0.17;0;g2169;-0.1;0
g2170;0.38;0.35;g2170;0.25;0.11;g2170;-0.03;-0.18;g2170;0.37;-0.2;g2170;-0.08;-0.01;g2170;0.25;-0.07
g2171;0.54;-0.07;g2171;0.77;0.24;g2171;0.16;0.84;g2171;0.67;0.46;g2171;-0.15;0.24;g2171;-0.17;0.29
