;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t7;t7;t7;t7;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g959;0.01;0;0.9;0.12;g959;0;0;-0.02;0.07;g959;0;0;-0.45;0.2;g959;-0.42;0;0.15;0.07;g959;0.12;0;0.15;0.2;g959;-0.2;0;-0.05;0.12;g959;0.2;0;-0.8;-0.42;g959;0.12;0;0.03;0.05
g984;0.22;0.37;0.12;0.45;g984;-0.2;0.37;-0.57;0.17;g984;0.08;0.25;-0.29;0.01;g984;-0.37;-0.17;-0.1;0.03;g984;0.11;0.32;0.32;0.06;g984;-0.05;-0.32;0.08;0.01;g984;0.22;0.3;0.2;-0.14;g984;0.07;-0.4;0.14;-0.15
g992;-0.04;0.45;-0.08;-0.04;g992;0.27;-0.02;0.2;-0.18;g992;0.36;-0.37;0.88;-0.04;g992;0;-0.35;0.48;-0.18;g992;0.19;0.25;-0.54;0.11;g992;-0.19;-0.59;-0.07;0.13;g992;-0.11;0.02;-0.26;0.12;g992;0.14;-0.14;-0.39;0.15
g1033;0.1;-0.12;0.6;-0.61;g1033;-0.2;-0.29;-0.02;-0.37;g1033;0;-0.17;-0.75;-0.24;g1033;0.12;1.02;-0.3;-0.55;g1033;0.17;0.01;-0.22;-0.04;g1033;-0.18;0.07;0.07;-0.08;g1033;0.2;-0.01;-0.42;-0.43;g1033;-0.06;-0.59;0;0.35
g1077;0.29;-0.47;0.03;0.28;g1077;0.11;-0.81;0.14;0.07;g1077;0.42;-0.64;-0.08;0.02;g1077;-0.06;-0.22;-0.04;-0.28;g1077;0.08;-0.2;-0.48;0.12;g1077;-0.37;0.02;0.02;-0.05;g1077;0.05;-0.06;0.07;-0.14;g1077;-0.18;0.02;0.19;-0.1
g1091;-0.44;-0.26;-1.07;-0.98;g1091;-0.42;-0.36;-0.1;-0.25;g1091;-0.08;0.06;0.44;-0.48;g1091;0.31;0.37;0.28;-0.57;g1091;0.02;0.63;-0.46;-0.09;g1091;0.31;0.08;-0.03;0.28;g1091;-0.17;0.28;0.2;0.45;g1091;0.04;0.08;-0.39;0.41
g1098;0.21;1.12;-0.45;-0.87;g1098;-0.91;1.04;0.27;-0.46;g1098;-0.94;0.47;0.33;-0.23;g1098;-0.19;0.23;0.29;0.8;g1098;0.1;0.02;0.3;0.8;g1098;0.21;0.17;0.09;0.66;g1098;-0.38;0.31;0.08;0.31;g1098;0.4;0.35;0.14;0.16
g1108;0.42;-0.22;-1.15;-0.65;g1108;0.01;0.68;-0.6;-0.44;g1108;0.07;1.04;0.08;-0.13;g1108;-0.11;0.27;0.79;-0.27;g1108;0.12;0.44;0.15;-0.11;g1108;-0.12;0.26;0.17;-0.27;g1108;0.09;0.35;0;0.14;g1108;0;-0.01;0.42;0.2
g1109;0.2;0.32;-1.63;-0.02;g1109;-0.15;0.83;-0.53;-0.13;g1109;0.05;1.11;-0.08;0.13;g1109;0.19;0.55;0.59;-0.47;g1109;0.19;0.59;0.7;-0.2;g1109;-0.05;0.37;0.37;0.02;g1109;0.1;0.38;0.52;-0.52;g1109;-0.12;0.05;0.54;-0.02
g1110;-0.78;-1.16;-0.89;-0.48;g1110;-0.52;0.06;-0.31;-0.74;g1110;0.26;1.4;0.69;-0.25;g1110;0.2;0.67;0.87;-0.43;g1110;0.48;0.1;1.17;0.29;g1110;0.48;-0.03;0.79;0.4;g1110;0.27;-0.65;-0.29;0.68;g1110;0.01;-1.23;-0.58;0.64
g1111;-0.17;-0.18;0.17;0.08;g1111;0.06;0.04;0.29;0.3;g1111;-0.02;0.06;-0.33;0.3;g1111;0.09;-0.22;0;-0.9;g1111;-0.49;0.18;-0.39;-0.02;g1111;0.28;-0.66;0.15;0;g1111;-0.28;0.3;-0.23;0.27;g1111;0.14;-0.68;-0.23;-0.17
g1112;-0.14;-0.24;0.26;0.05;g1112;-0.06;-0.33;0.01;-0.72;g1112;0.22;-0.33;0.15;-0.43;g1112;0.37;-0.52;-0.01;0;g1112;0.19;0.07;-0.13;-0.02;g1112;0.25;-0.41;-0.04;0.14;g1112;-0.37;-0.03;-0.37;0.17;g1112;0.11;-0.27;-0.23;0.38
g1113;-0.2;-0.02;0.11;-0.37;g1113;-0.2;-0.32;0.27;-0.46;g1113;-0.06;-0.63;-1.05;-0.24;g1113;0.08;-0.55;-0.72;-0.66;g1113;-0.42;-0.32;-0.31;-0.21;g1113;0.1;-0.55;-0.1;0.05;g1113;-0.36;-0.28;-0.38;0.29;g1113;-0.08;-0.18;0;0.44
g1114;-0.2;-0.11;-0.47;0.3;g1114;-0.38;0.08;-0.11;-0.08;g1114;0.08;0.29;-0.54;-0.39;g1114;-0.26;-0.08;-0.01;-0.23;g1114;0.1;-0.26;-0.11;0.1;g1114;-0.09;-0.24;0.39;0.08;g1114;-0.44;-0.29;-0.21;0.15;g1114;0.06;-0.13;0.24;0.33
g1115;-0.48;-0.37;0.36;0.16;g1115;-0.17;0.07;0.6;0.13;g1115;-0.26;0.07;-0.25;0.41;g1115;0.05;-0.35;0.2;-0.44;g1115;-0.28;0.42;-0.3;0.06;g1115;0.2;-0.42;0.1;-0.02;g1115;-0.26;0.53;-0.36;0.51;g1115;0.34;-0.26;0.11;-0.06
g1116;-0.04;0.07;-0.65;-0.48;g1116;-0.19;-0.12;0.09;-0.2;g1116;0;-0.16;-0.26;0;g1116;-0.35;-0.24;-0.01;0.74;g1116;0.01;-0.12;-0.52;0.1;g1116;0;0.04;-0.06;0.14;g1116;-0.3;-0.32;-0.14;0.19;g1116;-0.36;0.14;-0.01;0.32
g1117;-0.42;0.86;-0.98;-0.71;g1117;0.11;0.64;0.4;-0.07;g1117;-0.63;0.2;0.33;-0.06;g1117;0.01;0.02;0.01;-0.02;g1117;-0.44;0.04;-0.23;0.21;g1117;0.32;0.09;0.36;0.32;g1117;-0.38;0.28;0.29;0.44;g1117;0.21;0.2;0.14;0.33
g1118;-0.12;0.34;-0.5;-0.22;g1118;-0.1;0.36;0.2;-0.15;g1118;0.01;0.36;0.51;-0.05;g1118;0.31;-0.38;0.15;0.38;g1118;-0.17;-0.17;-0.44;0.23;g1118;0.3;-0.09;0.17;0.16;g1118;-0.72;0.33;0.16;0.16;g1118;0.38;0;-0.24;0.26
g1119;-0.3;-0.6;0.31;0.34;g1119;0.31;0.08;-0.4;0.37;g1119;0.19;0.01;0.14;-0.32;g1119;0.37;-0.42;-0.31;-0.59;g1119;-0.39;0.13;-0.28;-0.21;g1119;-0.07;0.78;0.03;-0.23;g1119;-0.56;-0.11;-0.22;0.15;g1119;-0.14;-0.4;-0.44;0.19
g1120;-0.05;0;0.62;-0.34;g1120;-0.04;0;0.43;0;g1120;0.01;0;0.26;-0.02;g1120;0.25;0;0.45;0.27;g1120;-0.08;0;0.22;0.12;g1120;-0.15;0;0.17;-0.04;g1120;-0.63;0;0.13;0.09;g1120;-0.06;0;-0.03;0.22
g1121;2.35;-0.28;0.92;0.28;g1121;0.22;0.37;0.54;0.24;g1121;-0.05;0.34;0.25;0.52;g1121;0.02;-0.35;0.25;0;g1121;-0.27;0.22;0.15;-0.24;g1121;-0.27;-0.68;-0.03;-0.34;g1121;-0.46;0.22;-0.18;0.18;g1121;-0.25;-0.68;-0.05;-0.22
g1122;1.39;0.17;0.91;0.49;g1122;0.28;0.12;0.49;-0.4;g1122;0.16;0.02;0.32;0;g1122;-0.19;-0.6;0.42;0.28;g1122;-0.14;0.15;0.13;0.05;g1122;-0.14;-0.37;-0.2;-0.3;g1122;-0.73;0.03;-0.2;0.07;g1122;-0.01;-0.24;-0.24;0.15
g1123;-0.18;0.29;0.67;-0.4;g1123;-0.07;0.54;0.58;-0.06;g1123;0.28;0.24;0.2;0.02;g1123;0.55;-0.02;0.08;-0.3;g1123;0;-0.21;0.7;-0.01;g1123;-0.04;0.06;0.39;0.22;g1123;-0.13;0.09;-0.63;-0.4;g1123;-0.25;0.04;-0.24;0.08
g1124;0.13;-0.13;-0.23;-0.69;g1124;-0.33;-0.13;-0.29;-0.29;g1124;0.15;-0.06;-0.27;-0.19;g1124;-0.28;-0.11;0.04;-0.17;g1124;0.07;0.07;-0.18;0.06;g1124;0.24;-0.08;-0.11;-0.01;g1124;0.01;0.05;-0.12;0.06;g1124;-0.25;-0.06;0.02;-0.03
