;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;c0;c1;c2;c5;c7;c9;;
g3;19630.13;15211.14;15358.1;1931.48;9475.77;18440.71;g3;49773.96;25375.43;47279.66;25375.43;25521.33;13921;g3;45449.97;18127.15;38317.85;48019.22;15029.33;43858.28;g3;19076.89;48700.44;48700.44;48700.44;38656.72;7925.91
g4;35249;6463.66;45410.19;42911.69;39894.59;37028.94;g4;35249;6463.66;10928.74;16134;39894.59;26029.83;g4;35249;6463.66;35076.87;39999.63;39894.59;558.32;g4;2674.31;34698.58;8215.29;31869.43;0;9137.92
g5;17589.95;10430.52;40899.52;16862.12;40899.52;35849.76;g5;28394.7;14384.86;21939.43;50000;10153.34;48546.74;g5;26964.09;27328.1;40899.52;0;40899.52;43801.25;g5;32828.62;6380.78;47109.6;25248.66;22609.4;27247.53
g7;49.25;2530.82;12535.15;45877.23;8548.28;17031.07;g7;35136.61;298;298;41132.83;298;298;g7;6917.43;298;46437.22;6960.59;298;298;g7;16166.74;298;298;23151.23;298;298
g8;46360.04;28003.97;25414.95;8674.83;20758.26;13241.1;g8;3667.84;12270.09;31805.22;31805.22;20612.79;31805.22;g8;26141.25;568.03;31805.22;31805.22;15189.34;31805.22;g8;4408.39;38979.6;49173.03;24474.03;19588.01;5176.73
g9;8711.36;29082.18;8711.36;43605.55;8711.36;8711.36;g9;36902.85;10304.23;34743.07;36452.45;45969.18;35331.75;g9;30464.89;32776.13;30464.89;2589.7;46968.89;30464.89;g9;12508.89;32290.76;22957.08;14768.24;14212.79;40042.27
g11;39886.18;22419.24;25194.48;12531.42;10456.25;3515.61;g11;27153.55;48525.42;31805.22;31805.22;11938.02;44297.42;g11;31771.65;4065.28;31805.22;31805.22;41862.14;31805.22;g11;38266.65;20643.74;8153.42;10423.85;46134.64;45598.29
g16;35185.59;7356.03;40454.46;23429.63;20525.19;24570.28;g16;49077.05;27743.19;27743.19;43062.93;27407.75;49099.32;g16;2992.07;50000;17397.11;36854.51;44503.34;27863.54;g16;0;27743.19;27743.19;28150.16;1130.05;29490.13
g17;6207.01;10054.57;14300.6;26872.13;23015.31;39864.76;g17;36623.4;13352.78;36623.4;28786.8;9452.61;41018.73;g17;8182.86;40514.37;8182.86;31100.85;47627.78;47132.11;g17;15268.16;28982.51;14296.57;28786.8;18296.01;41018.73
g18;2406.69;31609.74;13837.98;38110.24;38102.05;20009.46;g18;46492.34;30524.68;47836.42;18720.35;26244.67;44019.71;g18;1693.67;24005.16;20693.13;44402.8;40761.92;0;g18;18058.72;36738.94;22083.4;8264.46;18539.3;9170.66
g19;48204.68;4007.69;6277.29;14154.28;3371.85;48204.68;g19;47156.75;49008.73;32853.46;28935.72;15678.32;47156.75;g19;41020.01;22831.3;48725.82;37826.74;48014.14;41020.01;g19;8965.49;49751.39;13043.6;25521.92;5242.9;5102.98
g21;18158.25;10130.62;10130.62;16341.65;23308.33;29958.55;g21;28732.54;40964.67;27632.66;41593.58;49342.87;40964.67;g21;21576.77;40964.67;48144.67;47357.9;45016.23;40964.67;g21;40482.99;30497.41;38255.23;7811.86;18567.33;29765.05
g22;6321.34;28857.06;6321.34;43622.47;6321.34;1299.28;g22;41107.06;41107.06;41107.06;41107.06;17000.87;2416.28;g22;294.46;294.46;294.46;294.46;3079.52;22600.84;g22;6192.53;39535.86;6321.34;16131.99;6321.34;20800.04
g27;47116.86;3936.13;1473.38;35923.95;23250.11;38988.15;g27;16086.02;43168.95;15697.23;42566.02;17169.03;36703.04;g27;46886.86;10571.81;10571.81;10571.81;10571.81;17187.61;g27;11499.12;34407.3;34407.3;34407.3;34407.3;5283.84
g28;37376.78;8500.98;37674.82;50000;48660.89;42661.29;g28;37482.03;5985.87;3765.99;11610.36;10889.48;33226.41;g28;46235.53;22506.8;24115.71;41464.18;40279.72;38697.15;g28;4127.74;39409.67;12649.85;21468.53;33957.79;33002.89
g29;50000;8500.98;37674.82;2772.38;48660.89;42661.29;g29;49250.82;5985.87;3765.99;16172.68;10889.48;33226.41;g29;38294.39;22506.8;24115.71;41102.63;40279.72;38697.15;g29;32745.18;26487.79;25279.82;38307.51;38334.44;33119.33
g30;29814.93;39357.91;31819.9;35341.57;13121.47;31990.99;g30;38883.58;18352.09;24151.27;18668.84;50000;38451.19;g30;30145.9;32564.64;25781.83;43836.27;43836.27;43836.27;g30;273.35;32103.49;31738.24;43836.27;43836.27;43836.27
g31;37339.98;39383.97;14048.61;31200;1085.96;30646.64;g31;23208.53;13460.69;21939.43;8846;20912.14;48546.74;g31;50000;2250.99;22968.3;15195.4;28112.24;47912.61;g31;1852.39;22151.62;47109.6;45040.07;39402.84;27247.53
g32;22359.76;3379.53;16299.4;33805.15;34320.1;20946.94;g32;20965.26;29186.48;27853.57;32668.59;41368.37;20965.26;g32;20965.26;50000;23685.11;20965.26;17696.32;20965.26;g32;20965.26;38656.01;35331.28;20965.26;20883.79;20965.26
g34;35789.56;19236.97;7799.36;38872.75;35779.95;9188.04;g34;12205.86;1695.85;40057.38;45075.3;12205.86;12205.86;g34;18000.55;35258.78;0;12224.12;32185.64;48072.41;g34;17722.79;21758.7;16739.05;1627.43;17722.79;17722.79
g35;42416.02;34022.43;22996.72;27761.05;27761.05;14349.72;g35;0;35506.26;17595.6;36207.56;36207.56;0;g35;47164.78;152.85;29950.45;2382.21;2382.21;11888.43;g35;26713.39;28548.94;18405.04;16721.46;8518.86;1077.08
g40;12856.43;3171.01;4037.5;33519.62;36575.25;11732.59;g40;43389.05;27022.2;25140.22;36328.38;30245.67;2349.91;g40;20837.23;5516.18;5516.18;5516.18;367.08;12257.77;g40;19287.38;13983.8;18842.64;26731.74;40127.58;10030.96
g41;39869.48;12352.58;2433.61;17328.79;183;36733.22;g41;8808.25;19190.2;4345;33892.46;4345;18599.04;g41;40173.42;8494.77;19482.92;4978.75;31303.17;10795.14;g41;17830.39;50000;4345;32776.63;4345;24882.79
g48;41213.83;16520.6;35137.32;919.5;24726.78;39755.71;g48;37526.37;26800.87;10287.13;0;0;44482;g48;430.86;17797.52;14809.62;50000;49604.1;30724.27;g48;41213.83;22176.35;35137.32;20217.53;24068.94;39755.71
g50;17304.23;1972.5;11969.7;37804.14;12248.75;35835.66;g50;22724.11;50000;11969.7;37804.14;38711.4;35835.66;g50;1941;47443.49;1516.23;6187.26;25227.68;18395.2;g50;39253.1;47443.49;0;27166.1;28063.2;18395.2
g55;12251.6;35714.03;21944.26;39750.49;3273.42;40166.78;g55;25682;25682;15473.42;14072.46;33170.24;25682;g55;46322.05;38589.02;15437.14;15437.14;43099.91;15437.14;g55;25682;25682;6879.41;32017.02;48487.64;25682
g59;25133.63;35295;37289.41;18458.36;43299.58;6505.05;g59;41965.04;39969.22;30975.62;39969.22;39969.22;5530.63;g59;19380.26;28052.99;23968.91;28052.99;28052.99;34659.98;g59;19327.48;27390.97;36677.93;12602.33;44407.21;23422.08
g61;22823.39;7181.44;35923.65;16629.08;20207.75;18751.24;g61;27084.82;29150.84;34479.07;29341.75;50000;18353.24;g61;13334.03;44540.98;38282.16;27299.63;3997;36175.86;g61;4638.99;12247.75;46616.26;37451.77;50000;12757.87
g62;47094.76;2921.29;48004.14;5080.74;33046.12;8478.65;g62;1634.62;44373.2;41366.74;16794.74;10472.97;989.45;g62;37656.06;13857.45;44323.56;10864.7;41963.45;40593.24;g62;0;18173.73;3661.02;39450.75;36376.35;12340.31
g63;17873.06;37771.81;38200.08;10769.88;13369.76;37136.14;g63;14151.38;29093.25;50000;43580.91;10225.45;38930.66;g63;25267.18;42042.49;28461.62;28534.38;30467.36;27329.65;g63;28424.86;7946.4;41773.74;2423.89;43149.51;19723.06
g66;29264.51;22495.52;16798.63;16112.89;3673.72;733.16;g66;38450.17;31519.51;17168.66;32657.86;44486.35;38935.51;g66;21999.34;31324.85;38282.16;27299.63;6630.55;41973.81;g66;12032.01;8190.73;46616.26;37451.77;29612.75;49253.83
g68;7230.62;49599.5;22965.48;7230.62;25183.18;35201.37;g68;21725.84;22291.26;41349.37;44760.28;10114.42;31744.17;g68;35470.63;31128.44;6747.93;23150.07;21014.96;37807.91;g68;7230.62;44698.92;33636.76;7230.62;32289.26;13949.69
g73;41801.03;18011.36;45461.52;26576.73;40050.87;50000;g73;34449.28;18889.14;29111.29;40227.49;43234.05;43174.2;g73;27642.08;50000;21003.66;48086.34;48086.34;48086.34;g73;24142.26;1774.38;28203.19;48951.35;48086.34;48086.34
g74;1891.85;10640.34;43857.09;28202.74;44665.02;1335.05;g74;8197.64;9295.5;31584.37;45324.13;27459.42;7078.88;g74;21653.88;10257.61;13096.41;25049.89;42192.22;48949.39;g74;3603.28;35711.73;1083.89;44051.86;16736.72;14280.95
g75;49208.05;28342.34;44841.93;23009.92;10510.51;24645.72;g75;404.99;41166.98;38332.71;50000;22070.85;35478.02;g75;37752.73;38867.08;44841.93;23009.92;36802.95;221.57;g75;19017.25;20885.1;44841.93;23009.92;20884.81;17152.17
g76;27689.85;43630.56;37433.24;45804.97;32960.66;27689.85;g76;27689.85;41942.61;17854.92;14218.95;24438.9;27689.85;g76;29213.87;10716.41;427.09;427.09;427.09;6506.85;g76;8918.67;15866.29;22237.26;22237.26;22237.26;30289.94
g78;26356.47;21126.13;37636.42;33253.9;5405.48;43159.43;g78;7425.36;43832.08;43832.08;27824.13;43832.08;38087.32;g78;31822.33;1924.62;48294.71;41961.27;33302.65;36851.08;g78;15482.7;5694.83;0;3516.75;46716.39;25752.21
g79;4445.81;21546.1;42556.56;15026.75;26551.3;7788.41;g79;29553.29;35782.98;34606.64;50000;43328.49;36681.61;g79;5340.49;40801.68;26259.83;36538.81;13407.94;40801.68;g79;41879.69;33666.49;8454.68;21246.47;1824.95;42262.58
g81;7205.49;31318.94;28327.09;43479.18;9721.12;28536.6;g81;3130.65;49115.18;49028.44;25366.81;19673.29;41915.54;g81;26482.41;24709.37;38282.16;27299.63;35041.04;31673.39;g81;31607.88;26360.85;46616.26;37451.77;48403.32;33631.88
g90;40212.34;46479.74;36007.2;11091.97;19905.59;19225.95;g90;23638.83;35574.52;17818.9;47476.45;47476.45;47476.45;g90;9365.12;5831.33;10251.26;10859.91;8241.68;29741.68;g90;22208.89;32520.67;40216.59;27582.98;50000;7863.25
g95;15884.93;22253.35;42680.44;24845.18;29464.08;7149.38;g95;46043.98;47837.01;17017.49;17017.49;29585.36;50000;g95;26084.8;46804.94;17017.49;17017.49;5154.78;37460.83;g95;16147.67;10213.63;7101.01;37575.73;27734.01;32196.21
g96;0;12825.88;27335.08;19125.2;10648.3;20809.07;g96;5601.9;48223.07;44653.69;47247.55;598.08;9529.46;g96;48395.98;15618.64;44653.69;36914.84;598.08;35252.05;g96;33105.02;7348.13;44653.69;36914.84;598.08;47569.63
g97;32274.39;21108.64;19003.26;20489.39;39504.11;30134.74;g97;33773.84;16732.54;23528.28;30446.53;4316.26;4316.26;g97;38003.77;22235.39;6360.7;38296.11;43733.58;43733.58;g97;30453.2;7704.07;0;43939.78;3839.1;3839.1
g99;35774.2;34027.91;35774.2;10485.9;35774.2;35774.2;g99;4062.76;44780.13;15875.94;16566.64;16566.64;16566.64;g99;40075.47;34460.85;40075.47;18076.83;40075.47;40075.47;g99;44639.48;41106.52;14050.43;42709.23;21841.95;6304.47
g103;48283.88;20253.3;20688.72;49410.97;4788.31;16638.37;g103;44585.27;24130.07;24272.42;5740.97;48321.01;50000;g103;48283.88;50000;7587.35;49410.97;39052.08;16638.37;g103;31673.76;18933.09;24345.95;23575.19;10337.02;30805.14
g104;32783.43;19576.03;30590.13;9167.13;19254.43;19281.67;g104;36946.3;46965.95;12847.45;21490.01;8949.01;25348.26;g104;12716.97;8727.56;15437.14;15437.14;0;15437.14;g104;8373.66;32980.31;41924.46;22162.95;22503.73;49582.66
g108;42247;47219.94;0;6308.25;48335.87;0;g108;25682;25686.31;42316.55;20665.62;48587.5;25682;g108;33542.95;37420.22;27121.1;38670.46;14206.59;20370.95;g108;25682;25682;7442.93;35346.38;9344.62;25682
g109;30425.18;8500.98;37674.82;14341.21;909.59;42661.29;g109;46034;5985.87;3765.99;23768.9;10889.48;33226.41;g109;12948.98;22506.8;24115.71;27734.2;40279.72;38697.15;g109;5630.08;9016.5;29961.01;11224.27;21838.11;17553.14
g110;28245.42;46086.2;23304.33;9181.03;3040.5;5430.98;g110;13924.54;18463.51;17519.23;34091.45;28466.19;48898.12;g110;30975.9;26168.74;26168.74;26974.26;32145.25;39546.02;g110;9159.25;41808.26;11958.02;17039.04;4381.5;17376.89
g111;35789.56;25336.16;15553;38872.75;35779.95;20805.07;g111;12205.86;7494.14;43779.06;0;12205.86;12205.86;g111;360.12;3918.43;23370.34;24521.72;5524.02;0;g111;17722.79;21077.84;34412.92;0;17722.79;17722.79
g112;41213.83;40556.96;35137.32;31506.38;24068.94;39755.71;g112;3217.71;24680.76;31602.91;14020.11;30275.14;21407.79;g112;5672.74;47068.76;7273.53;10420.19;17895.34;11725.98;g112;41213.83;10823.73;35137.32;2545.93;24068.94;39755.71
g114;49.25;47072.84;50000;45877.23;36595.89;17782.49;g114;35136.61;17237.26;14542.46;41132.83;45911.08;40892.79;g114;29896.08;14944.53;14944.53;14944.53;26038.57;31327.48;g114;16166.74;14295.35;5041.14;23151.23;45867.64;0
g115;2347;0;6536.2;27761.05;27761.05;33007.56;g115;27167.07;18827.71;16625.36;36207.56;36207.56;22818.06;g115;35130.35;39315.38;37022.78;2382.21;2382.21;28414.67;g115;40942.95;42569.66;50000;10329.56;10806.26;14024.94
g117;37551.13;48288.18;22899.46;41479.08;7013.77;37551.13;g117;39716.75;529.92;13007.95;37486.49;42626.13;39716.75;g117;11520.29;36295.9;1687.9;36470;19562.19;11520.29;g117;8965.49;40539.45;13043.6;7154.13;5242.9;5102.98
g118;27628.13;18887.58;30590.13;9167.13;15498.24;19281.67;g118;49869.95;49706.66;12847.45;21490.01;44686.64;25348.26;g118;47245.29;16273.04;40988.12;43923.9;8093.1;30955.18;g118;9037.92;18118.75;34473.41;35994.06;28445.47;17212.44
g122;7230.62;49605.6;45384.97;7230.62;6560.32;35543.23;g122;9989;10669.61;0;29447.37;19703.88;48965.53;g122;6628.57;2563.35;31444.26;10219.95;19245.18;31383.06;g122;7230.62;29042.6;17982.25;7230.62;35880.53;721.31
g124;35594.54;50000;35594.54;46068.43;48537.4;33671.11;g124;13160.21;31394.2;2100.06;11523.13;38634.41;4472.54;g124;1169.07;31394.2;14329.64;11523.13;36334.3;21796.8;g124;35594.54;30134.69;35594.54;48567.4;9960.13;35594.54
g133;34870.15;47643.81;49324.59;30969.02;378.43;37458.78;g133;41107.06;41107.06;41107.06;41107.06;50000;40001.49;g133;294.46;294.46;294.46;294.46;18436.85;41317;g133;50000;33182.33;1923.12;14666.51;27668.23;50000
