;t0;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;t3;;
;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;c1;c4;c5;c7;c8;c9;;
g0;3573.89;41616.88;3439.9;41616.88;28196.74;38456.72;g0;11602.5;6164.28;41717.75;32195.98;462.74;37654.38;g0;16610.26;41616.88;19176.57;41616.88;15523.62;29894.16;g0;10369.54;23216.55;19394.93;32195.98;9722.93;2010.3
g1;22505.82;22505.82;22505.82;6611.45;22505.82;29408.47;g1;40428.78;14312.21;18444.52;50000;11283.96;49885.03;g1;4153.03;37277.87;12793.97;18981.14;34933.55;16829.68;g1;22505.82;22505.82;22505.82;31599.27;22505.82;28254.47
g2;15499.58;21916.26;47691.94;19608.28;9901.21;20718.27;g2;44072.63;28595.15;36645.47;44705.81;37088.2;9729.97;g2;2877.13;30471.84;36510.9;6288.99;28894.75;50000;g2;12680.11;32433.8;44584.86;6185.73;50000;15923.25
g3;15211.14;38816.04;1931.48;9475.77;36059.72;18440.71;g3;25375.43;25375.43;25375.43;25521.33;24616.56;13921;g3;18127.15;50000;48019.22;15029.33;0;43858.28;g3;48700.44;48700.44;48700.44;38656.72;35706.51;7925.91
g4;6463.66;42134.81;42911.69;39894.59;1319.93;37028.94;g4;6463.66;20731.27;16134;39894.59;5637.59;26029.83;g4;6463.66;11169.05;39999.63;39894.59;26757.28;558.32;g4;34698.58;48916.74;31869.43;0;16716.35;9137.92
g5;10430.52;40899.52;16862.12;40899.52;10568.72;35849.76;g5;14384.86;2288.76;50000;10153.34;43349.88;48546.74;g5;27328.1;40899.52;0;40899.52;9168.89;43801.25;g5;6380.78;19833.69;25248.66;22609.4;37390.56;27247.53
g6;10901.01;18418.38;17264.07;44586.34;10740.38;37653.67;g6;25375.43;25492.23;25375.43;32670.85;21040.77;32861.62;g6;46892.6;0;46415.52;354.68;48944.54;9480.64;g6;48700.44;48700.44;47641.06;12443.22;28235.17;17679.59
g7;2530.82;905.24;45877.23;8548.28;29479.58;17031.07;g7;298;27975.06;41132.83;298;4450.89;298;g7;298;37947.98;6960.59;298;50000;298;g7;298;38741.74;23151.23;298;33701.71;298
g8;28003.97;50000;8674.83;20758.26;44704.62;13241.1;g8;12270.09;40833.78;31805.22;20612.79;45779.41;31805.22;g8;568.03;38410.69;31805.22;15189.34;4231.92;31805.22;g8;38979.6;23352.64;24474.03;19588.01;48955.48;5176.73
g9;29082.18;10741.19;43605.55;8711.36;8711.36;8711.36;g9;10304.23;36816.02;36452.45;45969.18;29760.1;35331.75;g9;32776.13;0;2589.7;46968.89;30464.89;30464.89;g9;32290.76;15313.12;14768.24;14212.79;32127.67;40042.27
