;t0;t0;t0;t0;;t1;t1;t1;t1;;t2;t2;t2;t2;;t3;t3;t3;t3;;t4;t4;t4;t4;;t5;t5;t5;t5;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g7;-0.03;0;0.39;0.49;g7;-0.27;-0.02;-0.87;0.23;g7;0.17;0;-0.13;0.06;g7;-0.12;0.07;-0.71;0.32;g7;-0.27;0.14;0.2;0.12;g7;0.06;0.17;-0.73;0.12
g46;-0.01;0.27;0.11;-0.29;g46;-0.24;0.04;0.14;-0.08;g46;-0.18;0.23;0.13;-0.24;g46;-0.26;0.02;-0.5;-0.11;g46;0.03;0.09;0.01;-0.14;g46;-0.06;0.16;-0.18;-0.11
g68;0;0;-0.14;0;g68;0;0;-0.12;0;g68;0;0;0.25;0;g68;0;0;0.14;0;g68;0;0;0.37;0;g68;0;0;-0.51;0
g69;0;0.03;0.1;0;g69;0;0.38;-0.19;0;g69;0;0.06;-0.19;0;g69;0;-0.88;-0.04;0;g69;0;0.04;-1.04;0;g69;0;-0.23;0.55;0
g71;0.2;0.23;-0.34;0.07;g71;-0.64;0.45;0.01;-0.28;g71;-0.17;0.18;-0.3;-0.49;g71;0.86;0;-0.36;0.17;g71;-0.1;-0.23;0.17;0.12;g71;-0.51;0;-0.23;0
g75;0.96;-0.28;-0.35;0.5;g75;0.32;0.05;-0.87;0.18;g75;0.58;0.42;-0.02;0.41;g75;0.55;0.22;-0.51;0.18;g75;0.46;0.13;0.64;-0.03;g75;0.42;0.18;-0.9;0.15
g77;0;0.44;0.06;-1.08;g77;-0.18;0.42;-0.34;0.11;g77;-0.42;0.03;0.38;0;g77;-0.1;-0.11;0.1;-0.23;g77;-0.23;0.35;0.48;0;g77;-0.23;-0.27;-0.28;-0.25
g119;0.09;-0.28;-0.19;0.13;g119;-0.2;-0.35;-0.1;0.09;g119;-0.01;-0.21;-0.49;-0.03;g119;-0.13;0.03;-0.44;-0.02;g119;0.02;0.4;0.05;-0.33;g119;-0.12;0.24;-0.47;-0.12
g136;0.12;0;-0.62;-0.4;g136;-0.37;0;0.19;-0.51;g136;-0.17;0;0.6;-0.26;g136;-0.61;0;-0.28;0.43;g136;-0.06;0;0.04;0.03;g136;-0.32;0;-0.19;0.58
g155;0.1;0;-0.02;-1.41;g155;0.38;0;-1.06;0.26;g155;0.28;0;-1.55;-6.22;g155;0;0;-0.81;0.93;g155;-0.39;0;-0.14;0.51;g155;0;0;-0.58;0.51
g222;0.12;0;-1.61;-0.16;g222;-0.4;0.65;0.71;-0.27;g222;0.47;-0.07;-0.61;0.1;g222;-0.25;-0.64;-1.61;-0.42;g222;0.4;0.21;0.71;0.22;g222;-0.03;-0.77;-0.61;-0.11
